nom_dept,nom_station,code_station,nom_poll,valeur,unite,date_debut,x_l93,y_l93,longitude,latitude,date_formatee
HERAULT,Beziers Leclerc trafic,FR50226,NO,1.2,ug.m-3,2023-11-23 20:00:00,719256,6249147,3.237337858253092,43.34120911356434,23/11/2023 20:00
HERAULT,Beziers Leclerc trafic,FR50226,NO2,5.8,ug.m-3,2023-11-23 21:00:00,719256,6249147,3.237337858253092,43.34120911356434,23/11/2023 21:00
HERAULT,Montpellier Liberte Trafic,FR50225,NO2,15.7,ug.m-3,2023-11-23 21:00:00,766867,6279519,3.8280603367065766,43.611567228152744,23/11/2023 21:00
HERAULT,Agathois-Piscénois - Périurbain,FR50210,PM10,9.0,ug.m-3,2023-11-23 22:00:00,740996,6243312,3.504826846015026,43.28780027591033,23/11/2023 22:00
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,11.4,ug.m-3,2023-11-23 22:00:00,769827,6279565,3.8647194347650875,43.61169562597388,23/11/2023 22:00
HERAULT,Agathois-Piscénois - Périurbain,FR50210,NO2,3.9,ug.m-3,2023-11-23 20:00:00,740996,6243312,3.504826846015026,43.28780027591033,23/11/2023 20:00
HERAULT,Agathois-Piscénois - Périurbain,FR50210,NO2,4.0,ug.m-3,2023-11-23 22:00:00,740996,6243312,3.504826846015026,43.28780027591033,23/11/2023 22:00
HERAULT,Montpellier - Saint Denis Trafic,FR50202,NO2,35.4,ug.m-3,2023-11-23 22:00:00,770633,6278830,3.8745991062778473,43.60500285465384,23/11/2023 22:00
HERAULT,Beziers Leclerc trafic,FR50226,NO2,5.8,ug.m-3,2023-11-23 22:00:00,719256,6249147,3.237337858253092,43.34120911356434,23/11/2023 22:00
HERAULT,Montpellier Liberte Trafic,FR50225,NO2,9.9,ug.m-3,2023-11-23 22:00:00,766867,6279519,3.8280603367065766,43.611567228152744,23/11/2023 22:00
HERAULT,Montpelier Antigone Trafic,FR50227,NO2,24.3,ug.m-3,2023-11-23 22:00:00,772335,6279271,3.895733938230752,43.60879891624091,23/11/2023 22:00
HERAULT,Beziers Leclerc trafic,FR50226,PM2.5,7.1,ug.m-3,2023-11-23 22:00:00,719256,6249147,3.237337858253092,43.34120911356434,23/11/2023 22:00
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,8.1,ug.m-3,2023-11-23 22:00:00,771642,6277340,3.8868845925806363,43.59149596381382,23/11/2023 22:00
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,11.3,ug.m-3,2023-11-23 23:00:00,771642,6277340,3.8868845925806363,43.59149596381382,23/11/2023 23:00
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,21.0,ug.m-3,2023-11-23 23:00:00,769827,6279565,3.8647194347650875,43.61169562597388,23/11/2023 23:00
HERAULT,Agathois-Piscénois - Périurbain,FR50210,NO2,4.1,ug.m-3,2023-11-23 23:00:00,740996,6243312,3.504826846015026,43.28780027591033,23/11/2023 23:00
HERAULT,Lunel-Viel - Industriel,FR50206,NO2,18.0,ug.m-3,2023-11-23 22:00:00,787792,6286912,4.088422101356237,43.67579912432698,23/11/2023 22:00
HERAULT,Lunel-Viel - Industriel,FR50206,NO2,12.1,ug.m-3,2023-11-23 23:00:00,787792,6286912,4.088422101356237,43.67579912432698,23/11/2023 23:00
HERAULT,Montpellier - Saint Denis Trafic,FR50202,NO2,42.2,ug.m-3,2023-11-23 23:00:00,770633,6278830,3.8745991062778473,43.60500285465384,23/11/2023 23:00
HERAULT,Beziers Leclerc trafic,FR50226,NO2,5.2,ug.m-3,2023-11-23 23:00:00,719256,6249147,3.237337858253092,43.34120911356434,23/11/2023 23:00
HERAULT,Montpellier Liberte Trafic,FR50225,NO2,37.6,ug.m-3,2023-11-23 23:00:00,766867,6279519,3.8280603367065766,43.611567228152744,23/11/2023 23:00
HERAULT,Montpelier Antigone Trafic,FR50227,NO2,32.7,ug.m-3,2023-11-23 23:00:00,772335,6279271,3.895733938230752,43.60879891624091,23/11/2023 23:00
HERAULT,Montpellier Sud - Périurbain,FR50205,O3,23.9,ug.m-3,2023-11-24 00:00:00,773662,6275040,3.911560098371572,43.57059603709875,24/11/2023 00:00
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,14.8,ug.m-3,2023-11-24 00:00:00,771642,6277340,3.8868845925806363,43.59149596381382,24/11/2023 00:00
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,22.8,ug.m-3,2023-11-24 00:00:00,769827,6279565,3.8647194347650875,43.61169562597388,24/11/2023 00:00
HERAULT,Agathois-Piscénois - Périurbain,FR50210,NO2,4.3,ug.m-3,2023-11-24 00:00:00,740996,6243312,3.504826846015026,43.28780027591033,24/11/2023 00:00
HERAULT,Lunel-Viel - Industriel,FR50206,NO2,7.9,ug.m-3,2023-11-24 00:00:00,787792,6286912,4.088422101356237,43.67579912432698,24/11/2023 00:00
HERAULT,Montpellier - Saint Denis Trafic,FR50202,NO2,54.4,ug.m-3,2023-11-24 00:00:00,770633,6278830,3.8745991062778473,43.60500285465384,24/11/2023 00:00
HERAULT,Beziers Leclerc trafic,FR50226,NO2,5.7,ug.m-3,2023-11-24 00:00:00,719256,6249147,3.237337858253092,43.34120911356434,24/11/2023 00:00
HERAULT,Montpellier Liberte Trafic,FR50225,NO2,35.9,ug.m-3,2023-11-24 00:00:00,766867,6279519,3.8280603367065766,43.611567228152744,24/11/2023 00:00
HERAULT,Montpelier Antigone Trafic,FR50227,NO2,30.2,ug.m-3,2023-11-24 00:00:00,772335,6279271,3.895733938230752,43.60879891624091,24/11/2023 00:00
HERAULT,Montpellier - Prés d Arènes Urbain,FR50200,NO2,18.0,ug.m-3,2023-11-24 01:00:00,771642,6277340,3.8868845925806363,43.59149596381382,24/11/2023 01:00
HERAULT,Montpellier - Chaptal Urbain,FR50201,NO2,26.7,ug.m-3,2023-11-24 01:00:00,769827,6279565,3.8647194347650875,43.61169562597388,24/11/2023 01:00
HERAULT,Agathois-Piscénois - Périurbain,FR50210,NO2,3.0,ug.m-3,2023-11-24 01:00:00,740996,6243312,3.504826846015026,43.28780027591033,24/11/2023 01:00
HERAULT,Lunel-Viel - Industriel,FR50206,NO2,5.6,ug.m-3,2023-11-24 01:00:00,787792,6286912,4.088422101356237,43.67579912432698,24/11/2023 01:00
