nom_dept,nom_station,code_station,nom_poll,valeur,unite,date_debut,x_l93,y_l93,longitude,latitude,date_formatee
GARD,Nîmes - Planas - Trafic,FR50212,NO2,14.4,ug.m-3,2023-11-24 09:00:00,809561,6304377,4.361994770007604,43.829900788446345,24/11/2023 09:00
GARD,Nîmes - Planas - Trafic,FR50212,NO2,6.8,ug.m-3,2023-11-25 11:00:00,809561,6304377,4.361994770007604,43.829900788446345,25/11/2023 11:00
GARD,Nîmes - Planas - Trafic,FR50212,PM10,12.4,ug.m-3,2023-11-25 12:00:00,809561,6304377,4.361994770007604,43.829900788446345,25/11/2023 12:00
GARD,Nîmes Sud - Urbain,FR50211,PM10,16.5,ug.m-3,2023-11-25 12:00:00,810536,6304894,4.374224773869939,43.834400564624836,25/11/2023 12:00
GARD,Nîmes - Planas - Trafic,FR50212,PM10,6.9,ug.m-3,2023-11-25 10:00:00,809561,6304377,4.361994770007604,43.829900788446345,25/11/2023 10:00
GARD,Ales Vauban fond,FR50801,PM10,4.0,ug.m-3,2023-11-25 12:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 12:00
GARD,Nîmes Sud - Urbain,FR50211,PM2.5,3.6,ug.m-3,2023-11-25 12:00:00,810536,6304894,4.374224773869939,43.834400564624836,25/11/2023 12:00
GARD,Ales Vauban fond,FR50801,NO,0.5,ug.m-3,2023-11-25 12:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 12:00
GARD,Nîmes Sud - Urbain,FR50211,PM10,11.5,ug.m-3,2023-11-25 13:00:00,810536,6304894,4.374224773869939,43.834400564624836,25/11/2023 13:00
GARD,Ales Vauban fond,FR50801,PM10,3.4,ug.m-3,2023-11-25 13:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 13:00
GARD,Ales Vauban fond,FR50801,O3,63.3,ug.m-3,2023-11-25 13:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 13:00
GARD,Nîmes Sud - Urbain,FR50211,PM2.5,3.3,ug.m-3,2023-11-25 13:00:00,810536,6304894,4.374224773869939,43.834400564624836,25/11/2023 13:00
GARD,Ales Vauban fond,FR50801,NO,0.8,ug.m-3,2023-11-25 11:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 11:00
GARD,Ales Vauban fond,FR50801,NO,0.6,ug.m-3,2023-11-25 13:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 13:00
GARD,Nîmes - Planas - Trafic,FR50212,PM10,9.2,ug.m-3,2023-11-25 14:00:00,809561,6304377,4.361994770007604,43.829900788446345,25/11/2023 14:00
GARD,Nîmes Sud - Urbain,FR50211,PM10,7.5,ug.m-3,2023-11-25 14:00:00,810536,6304894,4.374224773869939,43.834400564624836,25/11/2023 14:00
GARD,Ales Vauban fond,FR50801,PM10,3.5,ug.m-3,2023-11-25 14:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 14:00
GARD,La Calmette - Périurbain,FR50213,O3,70.7,ug.m-3,2023-11-25 12:00:00,801654,6314859,4.265805972754194,43.925401931299156,25/11/2023 12:00
GARD,Saze - rural,FR50216,O3,70.5,ug.m-3,2023-11-24 22:00:00,834846,6317423,4.679685904861282,43.94290181169098,24/11/2023 22:00
GARD,Ales Vauban fond,FR50801,O3,64.0,ug.m-3,2023-11-25 14:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 14:00
GARD,Nîmes Sud - Urbain,FR50211,PM2.5,3.0,ug.m-3,2023-11-25 14:00:00,810536,6304894,4.374224773869939,43.834400564624836,25/11/2023 14:00
GARD,Ales Vauban fond,FR50801,PM2.5,2.2,ug.m-3,2023-11-25 13:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 13:00
GARD,Ales Vauban fond,FR50801,PM2.5,2.2,ug.m-3,2023-11-25 14:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 14:00
GARD,Ales Vauban fond,FR50801,NO,0.5,ug.m-3,2023-11-25 14:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 14:00
GARD,Nîmes - Planas - Trafic,FR50212,PM10,7.1,ug.m-3,2023-11-25 15:00:00,809561,6304377,4.361994770007604,43.829900788446345,25/11/2023 15:00
GARD,Nîmes Sud - Urbain,FR50211,PM10,6.6,ug.m-3,2023-11-25 15:00:00,810536,6304894,4.374224773869939,43.834400564624836,25/11/2023 15:00
GARD,Nîmes - Planas - Trafic,FR50212,PM10,10.0,ug.m-3,2023-11-25 13:00:00,809561,6304377,4.361994770007604,43.829900788446345,25/11/2023 13:00
GARD,Ales Vauban fond,FR50801,NOX,4.1,ug.m-3,2023-11-25 15:00:00,786067,6336905,4.075479901724785,44.12587472063915,25/11/2023 15:00
GARD,Saze - rural,FR50216,O3,68.2,ug.m-3,2023-11-25 15:00:00,834846,6317423,4.679685904861282,43.94290181169098,25/11/2023 15:00
