nom_dept,nom_station,code_station,nom_poll,valeur,unite,date_debut,x_l93,y_l93,longitude,latitude,date_formatee
GERS,AUCH ST EXUPERY,FR50833,NO2,19.4,ug.m-3,2023-11-23 21:00:00,505927,6286516,0.5946755060062487,43.651081156479506,23/11/2023 21:00
GERS,Peyrusse Vieille Rural,FR50020,NO2,0.82,ug.m-3,2023-11-23 21:00:00,472377,6285316,0.17971817721003894,43.63030241928345,23/11/2023 21:00
GERS,AUCH ST EXUPERY,FR50833,NO2,6.4,ug.m-3,2023-11-23 22:00:00,505927,6286516,0.5946755060062487,43.651081156479506,23/11/2023 22:00
GERS,Peyrusse Vieille Rural,FR50020,NO2,0.69,ug.m-3,2023-11-23 22:00:00,472377,6285316,0.17971817721003894,43.63030241928345,23/11/2023 22:00
GERS,Peyrusse Vieille Rural,FR50020,NO2,0.62,ug.m-3,2023-11-23 23:00:00,472377,6285316,0.17971817721003894,43.63030241928345,23/11/2023 23:00
GERS,AUCH ST EXUPERY,FR50833,NO2,4.6,ug.m-3,2023-11-23 23:00:00,505927,6286516,0.5946755060062487,43.651081156479506,23/11/2023 23:00
GERS,Peyrusse Vieille Rural,FR50020,NO2,0.68,ug.m-3,2023-11-24 00:00:00,472377,6285316,0.17971817721003894,43.63030241928345,24/11/2023 00:00
GERS,AUCH ST EXUPERY,FR50833,NO2,3.4,ug.m-3,2023-11-24 00:00:00,505927,6286516,0.5946755060062487,43.651081156479506,24/11/2023 00:00
GERS,Peyrusse Vieille Rural,FR50020,NO,0.15,ug.m-3,2023-11-24 01:00:00,472377,6285316,0.17971817721003894,43.63030241928345,24/11/2023 01:00
GERS,Peyrusse Vieille Rural,FR50020,NO2,0.79,ug.m-3,2023-11-24 01:00:00,472377,6285316,0.17971817721003894,43.63030241928345,24/11/2023 01:00
GERS,AUCH ST EXUPERY,FR50833,NO2,3.2,ug.m-3,2023-11-24 01:00:00,505927,6286516,0.5946755060062487,43.651081156479506,24/11/2023 01:00
GERS,Peyrusse Vieille Rural,FR50020,NO2,0.71,ug.m-3,2023-11-24 02:00:00,472377,6285316,0.17971817721003894,43.63030241928345,24/11/2023 02:00
GERS,AUCH ST EXUPERY,FR50833,NO2,3.1,ug.m-3,2023-11-24 02:00:00,505927,6286516,0.5946755060062487,43.651081156479506,24/11/2023 02:00
GERS,Peyrusse Vieille Rural,FR50020,O3,46.7,ug.m-3,2023-11-24 03:00:00,472377,6285316,0.17971817721003894,43.63030241928345,24/11/2023 03:00
GERS,Peyrusse Vieille Rural,FR50020,NO2,0.45,ug.m-3,2023-11-24 03:00:00,472377,6285316,0.17971817721003894,43.63030241928345,24/11/2023 03:00
GERS,AUCH ST EXUPERY,FR50833,NO2,2.6,ug.m-3,2023-11-24 03:00:00,505927,6286516,0.5946755060062487,43.651081156479506,24/11/2023 03:00
GERS,Peyrusse Vieille Rural,FR50020,NO2,0.29,ug.m-3,2023-11-24 04:00:00,472377,6285316,0.17971817721003894,43.63030241928345,24/11/2023 04:00
GERS,AUCH ST EXUPERY,FR50833,NO2,4.0,ug.m-3,2023-11-24 04:00:00,505927,6286516,0.5946755060062487,43.651081156479506,24/11/2023 04:00
GERS,Peyrusse Vieille Rural,FR50020,NO2,0.22,ug.m-3,2023-11-24 05:00:00,472377,6285316,0.17971817721003894,43.63030241928345,24/11/2023 05:00
GERS,AUCH ST EXUPERY,FR50833,NO2,7.8,ug.m-3,2023-11-24 05:00:00,505927,6286516,0.5946755060062487,43.651081156479506,24/11/2023 05:00
GERS,Peyrusse Vieille Rural,FR50020,NO2,0.21,ug.m-3,2023-11-24 06:00:00,472377,6285316,0.17971817721003894,43.63030241928345,24/11/2023 06:00
GERS,AUCH ST EXUPERY,FR50833,NO2,15.7,ug.m-3,2023-11-24 06:00:00,505927,6286516,0.5946755060062487,43.651081156479506,24/11/2023 06:00
GERS,Peyrusse Vieille Rural,FR50020,NO2,0.23,ug.m-3,2023-11-24 07:00:00,472377,6285316,0.17971817721003894,43.63030241928345,24/11/2023 07:00
GERS,Peyrusse Vieille Rural,FR50020,PM10,11.2,ug.m-3,2023-11-23 20:00:00,472377,6285316,0.17971817721003894,43.63030241928345,23/11/2023 20:00
GERS,Peyrusse Vieille Rural,FR50020,PM10,12.7,ug.m-3,2023-11-23 21:00:00,472377,6285316,0.17971817721003894,43.63030241928345,23/11/2023 21:00
GERS,Peyrusse Vieille Rural,FR50020,PM10,12.2,ug.m-3,2023-11-23 22:00:00,472377,6285316,0.17971817721003894,43.63030241928345,23/11/2023 22:00
GERS,Peyrusse Vieille Rural,FR50020,PM10,12.4,ug.m-3,2023-11-23 23:00:00,472377,6285316,0.17971817721003894,43.63030241928345,23/11/2023 23:00
GERS,Peyrusse Vieille Rural,FR50020,PM10,12.4,ug.m-3,2023-11-24 00:00:00,472377,6285316,0.17971817721003894,43.63030241928345,24/11/2023 00:00
GERS,Peyrusse Vieille Rural,FR50020,PM10,12.3,ug.m-3,2023-11-24 01:00:00,472377,6285316,0.17971817721003894,43.63030241928345,24/11/2023 01:00
GERS,Peyrusse Vieille Rural,FR50020,PM10,11.2,ug.m-3,2023-11-24 02:00:00,472377,6285316,0.17971817721003894,43.63030241928345,24/11/2023 02:00
GERS,Peyrusse Vieille Rural,FR50020,PM10,8.7,ug.m-3,2023-11-24 03:00:00,472377,6285316,0.17971817721003894,43.63030241928345,24/11/2023 03:00
GERS,Peyrusse Vieille Rural,FR50020,PM10,7.5,ug.m-3,2023-11-24 04:00:00,472377,6285316,0.17971817721003894,43.63030241928345,24/11/2023 04:00
