nom_dept,nom_station,code_station,nom_poll,valeur,unite,date_debut,x_l93,y_l93,longitude,latitude,date_formatee
HAUTE-GARONNE,Toulouse-SETMI Eisenhower Industriel,FR50039,NO2,7.4,ug.m-3,2023-11-25 11:00:00,570147,6274936,1.3932583295637007,43.56159869036733,25/11/2023 11:00
HAUTE-GARONNE,Toulouse-Jacquier Urbain,FR50004,NO2,9.6,ug.m-3,2023-11-25 11:00:00,572184,6276463,1.4180779639905388,43.57570501642489,25/11/2023 11:00
HAUTE-GARONNE,Blagnac Aéroport Piste ,FR50043,NO2,7.4,ug.m-3,2023-11-25 11:00:00,568999,6282041,1.3772510221439531,43.62530203840175,25/11/2023 11:00
HAUTE-GARONNE,Blagnac Aéroport Trafic ,FR50044,NO2,8.8,ug.m-3,2023-11-25 11:00:00,568894,6282951,1.3757188772850404,43.63346889951384,25/11/2023 11:00
HAUTE-GARONNE,Toulouse-Berthelot Urbain,FR50030,NO2,7.9,ug.m-3,2023-11-25 10:00:00,574306,6277713,1.4440293507506279,43.5873290392329,25/11/2023 10:00
HAUTE-GARONNE,Toulouse-Berthelot Urbain,FR50030,NO2,6.3,ug.m-3,2023-11-25 11:00:00,574306,6277713,1.4440293507506279,43.5873290392329,25/11/2023 11:00
HAUTE-GARONNE,Toulouse - Rte Albi Trafic,FR50054,NO2,23.6,ug.m-3,2023-11-24 10:00:00,576334,6283873,1.4676480669752532,43.64310128696538,24/11/2023 10:00
HAUTE-GARONNE,Toulouse - Rte Albi Trafic,FR50054,NO2,29.8,ug.m-3,2023-11-25 11:00:00,576334,6283873,1.4676480669752532,43.64310128696538,25/11/2023 11:00
HAUTE-GARONNE,Montgiscard Périurbain,FR50041,NO2,9.2,ug.m-3,2023-11-25 11:00:00,584310,6263091,1.57111605220344,43.457497281272026,25/11/2023 11:00
HAUTE-GARONNE,Toulouse - Rte Albi Trafic,FR50054,NO2,15.9,ug.m-3,2023-11-24 09:00:00,576334,6283873,1.4676480669752532,43.64310128696538,24/11/2023 09:00
HAUTE-GARONNE,Toulouse-Périphérique Trafic,FR50048,NO2,50.4,ug.m-3,2023-11-24 11:00:00,574726,6276223,1.4495893198232226,43.573999658271376,24/11/2023 11:00
HAUTE-GARONNE,Toulouse-Berthelot Urbain,FR50030,PM10,6.7,ug.m-3,2023-11-25 12:00:00,574306,6277713,1.4440293507506279,43.5873290392329,25/11/2023 12:00
HAUTE-GARONNE,Toulouse-Berthelot Urbain,FR50030,PM10,8.3,ug.m-3,2023-11-25 10:00:00,574306,6277713,1.4440293507506279,43.5873290392329,25/11/2023 10:00
HAUTE-GARONNE,Bessières-ECONOTRE Industriel,FR50047,PM10,4.1,ug.m-3,2023-11-25 12:00:00,586995,6301548,1.595825764812009,43.80390392090221,25/11/2023 12:00
HAUTE-GARONNE,Toulouse-Jacquier Urbain,FR50004,PM10,7.3,ug.m-3,2023-11-25 12:00:00,572184,6276463,1.4180779639905388,43.57570501642489,25/11/2023 12:00
HAUTE-GARONNE,Toulouse-Mazades Urbain,FR50021,PM10,5.4,ug.m-3,2023-11-25 12:00:00,573948,6281752,1.4386102671930976,43.62359997583292,25/11/2023 12:00
HAUTE-GARONNE,Toulouse-SETMI Chapitre Industriel,FR50040,PM10,5.0,ug.m-3,2023-11-25 12:00:00,570997,6274342,1.4039215107514516,43.556410435726235,25/11/2023 12:00
HAUTE-GARONNE,Toulouse-SETMI Eisenhower Industriel,FR50039,PM10,9.2,ug.m-3,2023-11-25 12:00:00,570147,6274936,1.3932583295637007,43.56159869036733,25/11/2023 12:00
HAUTE-GARONNE,Blagnac Aéroport Trafic ,FR50044,PM10,6.8,ug.m-3,2023-11-25 12:00:00,568894,6282951,1.3757188772850404,43.63346889951384,25/11/2023 12:00
HAUTE-GARONNE,Toulouse - Rte Albi Trafic,FR50054,PM10,11.8,ug.m-3,2023-11-25 12:00:00,576334,6283873,1.4676480669752532,43.64310128696538,25/11/2023 12:00
HAUTE-GARONNE,Toulouse-Périphérique Trafic,FR50048,PM10,28.0,ug.m-3,2023-11-25 12:00:00,574726,6276223,1.4495893198232226,43.573999658271376,25/11/2023 12:00
HAUTE-GARONNE,Toulouse - Port de l Embouchure Trafic,FR50821,PM10,10.6,ug.m-3,2023-11-25 12:00:00,572027,6280312,1.415179385487924,43.610301471588485,25/11/2023 12:00
