nom_dept,nom_station,code_station,nom_poll,valeur,unite,date_debut,x_l93,y_l93,longitude,latitude,date_formatee
PYRENEES-ORIENTALES,Perpignan Centre - Urbain,FR50220,PM10,9.1,ug.m-3,2023-11-25 12:00:00,691771,6177360,2.899697975630529,42.69580226521381,25/11/2023 12:00
PYRENEES-ORIENTALES,Perpignan-Pyrenees Trafic,FR50224,PM10,19.9,ug.m-3,2023-11-25 12:00:00,690848,6177376,2.888447408281197,42.69593498816031,25/11/2023 12:00
PYRENEES-ORIENTALES,Perpignan Centre - Urbain,FR50220,O3,75.8,ug.m-3,2023-11-25 12:00:00,691771,6177360,2.899697975630529,42.69580226521381,25/11/2023 12:00
PYRENEES-ORIENTALES,Perpignan Centre - Urbain,FR50220,PM2.5,4.3,ug.m-3,2023-11-25 12:00:00,691771,6177360,2.899697975630529,42.69580226521381,25/11/2023 12:00
PYRENEES-ORIENTALES,Perpignan-Pyrenees Trafic,FR50224,NO,32.7,ug.m-3,2023-11-25 12:00:00,690848,6177376,2.888447408281197,42.69593498816031,25/11/2023 12:00
PYRENEES-ORIENTALES,Perpignan Centre - Urbain,FR50220,PM10,8.1,ug.m-3,2023-11-25 13:00:00,691771,6177360,2.899697975630529,42.69580226521381,25/11/2023 13:00
PYRENEES-ORIENTALES,Perpignan-Pyrenees Trafic,FR50224,PM10,20.1,ug.m-3,2023-11-25 13:00:00,690848,6177376,2.888447408281197,42.69593498816031,25/11/2023 13:00
PYRENEES-ORIENTALES,Perpignan Centre - Urbain,FR50220,O3,75.8,ug.m-3,2023-11-25 13:00:00,691771,6177360,2.899697975630529,42.69580226521381,25/11/2023 13:00
PYRENEES-ORIENTALES,Perpignan Centre - Urbain,FR50220,PM2.5,4.0,ug.m-3,2023-11-25 13:00:00,691771,6177360,2.899697975630529,42.69580226521381,25/11/2023 13:00
PYRENEES-ORIENTALES,Perpignan-Pyrenees Trafic,FR50224,NO,44.0,ug.m-3,2023-11-25 13:00:00,690848,6177376,2.888447408281197,42.69593498816031,25/11/2023 13:00
PYRENEES-ORIENTALES,Perpignan Centre - Urbain,FR50220,PM10,6.5,ug.m-3,2023-11-25 14:00:00,691771,6177360,2.899697975630529,42.69580226521381,25/11/2023 14:00
PYRENEES-ORIENTALES,Perpignan-Pyrenees Trafic,FR50224,PM10,20.1,ug.m-3,2023-11-25 14:00:00,690848,6177376,2.888447408281197,42.69593498816031,25/11/2023 14:00
PYRENEES-ORIENTALES,Perpignan-Pyrenees Trafic,FR50224,NOX,67.4,ug.m-3,2023-11-24 09:00:00,690848,6177376,2.888447408281197,42.69593498816031,24/11/2023 09:00
PYRENEES-ORIENTALES,Perpignan-Pyrenees Trafic,FR50224,NOX,105.4,ug.m-3,2023-11-24 17:00:00,690848,6177376,2.888447408281197,42.69593498816031,24/11/2023 17:00
PYRENEES-ORIENTALES,Perpignan-Pyrenees Trafic,FR50224,NOX,119.4,ug.m-3,2023-11-25 10:00:00,690848,6177376,2.888447408281197,42.69593498816031,25/11/2023 10:00
PYRENEES-ORIENTALES,Perpignan-Pyrenees Trafic,FR50224,NOX,112.7,ug.m-3,2023-11-25 11:00:00,690848,6177376,2.888447408281197,42.69593498816031,25/11/2023 11:00
PYRENEES-ORIENTALES,Perpignan-Pyrenees Trafic,FR50224,NOX,86.6,ug.m-3,2023-11-25 12:00:00,690848,6177376,2.888447408281197,42.69593498816031,25/11/2023 12:00
PYRENEES-ORIENTALES,Perpignan-Pyrenees Trafic,FR50224,NOX,113.1,ug.m-3,2023-11-25 13:00:00,690848,6177376,2.888447408281197,42.69593498816031,25/11/2023 13:00
PYRENEES-ORIENTALES,Perpignan-Pyrenees Trafic,FR50224,NOX,127.5,ug.m-3,2023-11-25 14:00:00,690848,6177376,2.888447408281197,42.69593498816031,25/11/2023 14:00
PYRENEES-ORIENTALES,Saint Estève - Périurbain,FR50221,O3,73.8,ug.m-3,2023-11-25 10:00:00,686868,6180037,2.8398700203748812,42.71979865793567,25/11/2023 10:00
PYRENEES-ORIENTALES,Saint Estève - Périurbain,FR50221,O3,75.5,ug.m-3,2023-11-25 11:00:00,686868,6180037,2.8398700203748812,42.71979865793567,25/11/2023 11:00
